Date,Particulars,Voucher Type,Supplier Invoice No.,Supplier Invoice Date,GSTIN/UIN,GST Purchase,SGST,CGST,Invoice value (â‚,
01-Mar-20,Shreeji Gas Corporation,Purchase,2593,31-Jan-20,24ACCFS3173N1ZV,"1,350.00",121.50,121.50,1593,
01-Mar-20,Shreeji Gas Corporation,Purchase,2870,29-Feb-20,24ACCFS3173N1ZV,"4,500.00",405.00,405.00,5310,
31-Mar-20,Shreeji Gas Corporation,Purchase,3072,31-Mar-20,24ACCFS3173N1ZV,"3,000.00",270.00,270.00,3540,
10-May-19,SUPER IMPEX,Purchase,18,10-May-19,24FUKPK8803G1ZG,"308,625.00","27,776.25","27,776.25",364177.5,
17-May-19,SUPER IMPEX,Purchase,20,17-May-19,24FUKPK8803G1ZG,"312,250.00","28,102.50","28,102.50",368455,
27-May-19,SUPER IMPEX,Purchase,23,27-May-19,24FUKPK8803G1ZG,"296,875.00","26,718.75","26,718.75",350312.5,
13-Nov-19,SUPER IMPEX,Purchase,104,13-Nov-19,24FUKPK8803G1ZG,"69,900.00","6,291.00","6,291.00",82482,
25-Apr-19,Unique Construction,Purchase,17,25-Apr-19,24AABFU1297N1ZT,"229,770.00","20,679.30","20,679.30",271128.6,
26-Apr-19,Unique Construction,Purchase,19,26-Apr-19,24AABFU1297N1ZT,"250,884.00","22,579.56","22,579.56",296043.12,
27-Apr-19,Unique Construction,Purchase,22,27-Apr-19,24AABFU1297N1ZT,"228,275.00","20,544.75","20,544.75",269364.5,
29-Apr-19,Unique Construction,Purchase,23,29-Apr-19,24AABFU1297N1ZT,"120,060.00","10,805.40","10,805.40",141670.8,
01-Aug-19,Unique Construction,Purchase,55,29-May-19,24AABFU1297N1ZT,"228,850.00","20,596.50","20,596.50",270043,
01-Aug-19,Unique Construction,Purchase,57,30-May-19,24AABFU1297N1ZT,"198,950.00","17,905.50","17,905.50",234761,
01-Aug-19,Unique Construction,Purchase,59,31-May-19,24AABFU1297N1ZT,"229,770.00","20,679.30","20,679.30",271128.6,
01-Aug-19,Unique Construction,Purchase,199,01-Aug-19,24AABFU1297N1ZT,"217,350.00","19,561.50","19,561.50",256473,
04-Aug-19,Unique Construction,Purchase,201,04-Aug-19,24AABFU1297N1ZT,"219,030.00","19,712.70","19,712.70",258455.4,
