GSTIN of supplier,Trade/ Legal name of supplier,Invoice details,,,,Place of supply,Supply attract   reverse charge,Rate (%),Taxable value (â‚,Tax amount,,,,"Counterparty GSTR-1/5 filing date 
(DD/MM/YYYY)",ITC available,Reason for non accounting of ITC
,,Invoice number,Invoice type,Invoice date,Invoice value (â‚,,,,,Integrated tax  (â‚,Central tax (â‚,State/UT tax (â‚,Cess  (â‚,,,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901043047,R,11/02/2020,"31,949.68",Gujarat,N,18,"27,076.00",0.00,"2,436.84","2,436.84",0.00,07/03/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901042073,R,04/02/2020,"10,441.82",Gujarat,N,18,"8,849.00",0.00,796.41,796.41,0.00,07/03/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901044958,R,25/02/2020,"5,145.98",Gujarat,N,18,"4,361.00",0.00,392.49,392.49,0.00,07/03/2020,Yes,
24AABFC2262P1ZG,CHETAN ENGINEERS,005,R,24/02/2020,"190,670.00",Gujarat,N,18,"160,230.00",0.00,"14,420.70","14,420.70",0.00,11/03/2020,Yes,
24AACCJ3016E1Z7,J B DIGITRONICS PVT LTD,010612,R,20/02/2020,"26,000.00",Gujarat,N,28,"20,312.50",0.00,"2,843.75","2,843.75",0.00,11/03/2020,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/64/19-20,R,03/02/2020,"201,356.00",Gujarat,N,18,"170,640.00",0.00,"15,357.60","15,357.60",0.00,26/03/2020,Yes,
24AAWFR0748J1ZP,ROHAN INFRASTRUCTURE,07,R,14/02/2020,"157,548.00",Gujarat,N,18,"133,515.00",0.00,"12,016.00","12,016.00",0.00,09/03/2020,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,2870,R,29/02/2020,"5,310.00",Gujarat,N,18,"4,500.00",0.00,405.00,405.00,0.00,09/03/2020,Yes,
24AECPH6789R1ZP,HASHMI TRADERS,342,R,22/02/2020,"54,646.00",Gujarat,N,18,"46,310.00",0.00,"4,167.90","4,167.90",0.00,03/03/2020,Yes,
24AECPH6789R1ZP,HASHMI TRADERS,345,R,24/02/2020,"47,248.00",Gujarat,N,18,"40,040.00",0.00,"3,603.60","3,603.60",0.00,03/03/2020,Yes,
24AECPH6789R1ZP,HASHMI TRADERS,344,R,24/02/2020,"49,844.00",Gujarat,N,18,"42,240.00",0.00,"3,801.60","3,801.60",0.00,03/03/2020,Yes,
24AECPH6789R1ZP,HASHMI TRADERS,346,R,25/02/2020,"107,216.00",Gujarat,N,18,"90,862.00",0.00,"8,177.58","8,177.58",0.00,03/03/2020,Yes,
24AESPS3881B1Z8,PRAKASH TUBES,2163,R,17/02/2020,"20,000.00",Gujarat,N,18,"16,949.18",0.00,"1,525.43","1,525.43",0.00,12/03/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901045750,R,02/03/2020,"3,495.16",Gujarat,N,18,"2,962.00",0.00,266.58,266.58,0.00,04/05/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901046221,R,05/03/2020,"47,218.88",Gujarat,N,12,"2,655.00",0.00,159.30,159.30,0.00,04/05/2020,Yes,
